Rk,Player,Pos,"Squad
▲",Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
112,Elise Hughes,FW,Everton,18,2001,1.2,0,1,0,0,0.87,0,0,,9.5,0,0,0,0.1,0.1,0.11,-0.1,-0.1
113,Taylor Hinds,DF,Everton,19,1999,2.4,0,1,0,0,0.42,0,0,,19,0,0,0,0,0,0.03,0,0
114,Lucy Graham,MF,Everton,22,1996,13.7,4,22,7,31.8,1.61,0.51,0.14,0.43,20.8,0,1,1,2.1,1.3,0.06,1.9,1.7
115,Gabrielle George,DF,Everton,22,1997,13,0,7,3,42.9,0.54,0.23,0,0,16.3,0,0,0,0.7,0.7,0.1,-0.7,-0.7
116,Megan Finnigan,DF,Everton,21,1998,10,0,6,2,33.3,0.6,0.2,0,0,7.3,0,0,0,0.8,0.8,0.13,-0.8,-0.8
117,Kika van Es,DF,Everton,27,1991,7.1,0,1,0,0,0.14,0,0,,26.6,0,0,0,0,0,0.03,0,0
118,Maéva Clemaron,MF,Everton,26,1992,10.9,0,5,2,40,0.46,0.18,0,0,18.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
119,Hannah Cain,FW,Everton,20,1999,6.1,0,16,5,31.3,2.61,0.82,0,0,22.2,0,0,0,0.8,0.8,0.05,-0.8,-0.8
120,Chantelle Boye-Hlorkah,FW,Everton,23,1995,6.8,0,12,4,33.3,1.75,0.58,0,0,20.2,0,0,0,1,1,0.08,-1,-1
121,Courtney Sweetman-Kirk,FW,Liverpool,28,1990,6.7,0,12,2,16.7,1.8,0.3,0,0,19,0,0,0,0.8,0.8,0.06,-0.8,-0.8
122,Amy Rodgers,MF,Liverpool,19,2000,2.6,0,2,0,0,0.78,0,0,,26.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
123,Rhiannon Roberts,MF,Liverpool,28,1990,9.8,0,12,6,50,1.23,0.61,0,0,26.4,0,0,0,0.5,0.5,0.04,-0.5,-0.5
124,Leigh-Anne Robe,DF,Liverpool,25,1993,14,0,3,0,0,0.21,0,0,,34.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
125,Jemma Purfield,DF,Liverpool,22,1997,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
126,Anke Preuß,GK,Liverpool,26,1992,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
127,Christie Murray,MF,Liverpool,29,1990,1,0,2,1,50,2.09,1.05,0,0,27.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
128,Kirsty Linnett,"MF,FW",Liverpool,25,1993,6.9,0,17,9,52.9,2.46,1.3,0,0,23.5,3,0,0,0.8,0.8,0.05,-0.8,-0.8
129,Melissa Lawley,"FW,MF",Liverpool,25,1994,13.4,1,21,8,38.1,1.56,0.6,0,0,26.3,1,1,2,2.9,1.3,0.06,-1.9,-1.3
130,Frances Kitching,GK,Liverpool,21,1998,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
131,Rebecca Jane,DF,Liverpool,27,1992,14,0,5,1,20,0.36,0.07,0,0,25.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2
132,Ashley Hodson,"FW,MF",Liverpool,24,1995,2.8,0,1,0,0,0.36,0,0,,16.8,0,0,0,0,0,0.05,0,0
133,Rachel Furness,MF,Liverpool,31,1988,4,4,13,5,38.5,3.25,1.25,0.31,0.8,16.6,1,0,0,1.4,1.4,0.11,2.6,2.6
134,Niamh Fahey,DF,Liverpool,31,1987,12.7,0,5,1,20,0.39,0.08,0,0,8.1,0,0,0,0.9,0.9,0.17,-0.9,-0.9
135,Jessica Clarke,"FW,MF",Liverpool,30,1989,4,0,6,2,33.3,1.49,0.5,0,0,20.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4
136,Niamh Charles,"FW,MF",Liverpool,20,1999,11.8,2,19,5,26.3,1.61,0.42,0.11,0.4,15.7,0,0,0,1.7,1.7,0.09,0.3,0.3
137,Sophie Bradley,DF,Liverpool,29,1989,14,0,6,1,16.7,0.43,0.07,0,0,14.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5
138,Jade Bailey,MF,Liverpool,23,1995,12.6,0,9,3,33.3,0.71,0.24,0,0,26.5,2,0,0,0.4,0.4,0.05,-0.4,-0.4
139,Rinsola Babajide,"FW,MF",Liverpool,21,1998,8.2,1,24,7,29.2,2.92,0.85,0.04,0.14,18,0,0,0,2.5,2.5,0.1,-1.5,-1.5
140,Tessa Wullaert,"FW,MF",Manchester City,26,1993,9.7,3,15,5,33.3,1.55,0.52,0.2,0.6,15.1,0,0,0,2.4,2.4,0.16,0.6,0.6
141,Ellen White,FW,Manchester City,30,1989,9.5,6,37,14,37.8,3.89,1.47,0.16,0.43,11.9,0,0,0,6.9,6.9,0.19,-0.9,-0.9
142,Caroline Weir,MF,Manchester City,24,1995,16,3,35,15,42.9,2.19,0.94,0.09,0.2,23.4,1,0,0,2.3,2.3,0.07,0.7,0.7
143,Keira Walsh,MF,Manchester City,22,1997,14,2,10,3,30,0.71,0.21,0.2,0.67,25.5,0,0,0,0.3,0.3,0.03,1.7,1.7
144,Tyler Toland,MF,Manchester City,17,2001,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
145,Demi Stokes,DF,Manchester City,27,1991,12.6,0,3,1,33.3,0.24,0.08,0,0,11.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2
146,Georgia Stanway,"FW,DF",Manchester City,20,1999,9.2,4,32,11,34.4,3.46,1.19,0.13,0.36,19.5,0,0,1,4,3.2,0.1,0,0.8
147,Jill Scott,MF,Manchester City,32,1987,14.3,0,11,4,36.4,0.77,0.28,0,0,17.2,0,0,0,0.8,0.8,0.07,-0.8,-0.8
148,Ellie Roebuck,GK,Manchester City,19,1999,16,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
149,Jessica Park,MF,Manchester City,17,2001,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
150,Aoife Mannion,DF,Manchester City,23,1995,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
