Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
200,Rebecca Spencer,GK,Tottenham,28,1991,13.4,0,0,0,0,1,0,0,0,0,0,0,0,16,2,0,100
201,Jenna Schillaci,DF,Tottenham,35,1984,3,1,0,0,3,1,0,0,3,3,0,0,0,14,2,1,66.7
202,Lucy Quinn,"MF,FW",Tottenham,25,1993,5.9,0,0,0,2,13,1,27,4,4,0,0,0,32,5,6,45.5
203,Ria Percival,"MF,DF",Tottenham,29,1989,14,2,0,0,24,10,1,22,21,24,0,0,0,94,9,11,45
204,Chloe Peplow,MF,Tottenham,20,1998,9.1,3,0,0,14,8,0,11,11,11,0,0,0,94,8,4,66.7
205,Ashleigh Neville,DF,Tottenham,26,1993,12.1,2,0,0,15,16,1,14,35,34,0,0,1,78,22,17,56.4
206,Emma Mitchell,DF,Tottenham,26,1992,3.5,0,0,0,3,4,0,10,8,4,0,0,0,28,5,1,83.3
207,Lucía Marte,"DF,FW",Tottenham,21,1997,1.6,2,0,0,4,2,1,3,2,2,0,0,0,19,2,1,66.7
208,Coral-Jade Haines,MF,Tottenham,23,1996,1.2,0,0,0,1,1,0,2,0,1,0,0,0,6,1,1,50
209,Josephine Green,MF,Tottenham,26,1993,12.4,4,0,0,21,23,0,7,6,26,0,1,0,83,9,16,36
210,Kit Graham,"FW,MF",Tottenham,23,1995,12,1,0,0,17,7,0,16,4,4,1,0,0,50,21,17,55.3
211,Hannah Godfrey,DF,Tottenham,22,1997,14,2,0,0,7,3,1,0,17,8,0,0,0,80,31,23,57.4
212,Rachel Furness,"MF,FW",Tottenham,31,1988,9,3,0,0,13,15,2,11,7,4,1,0,0,55,41,37,52.6
213,Anna Filbey,DF,Tottenham,19,1999,12.8,0,0,0,8,9,0,1,29,13,0,0,1,58,24,14,63.2
214,Rianna Dean,FW,Tottenham,20,1998,12.6,1,0,0,16,20,9,1,5,5,1,0,0,34,18,28,39.1
215,Gemma Davison,"MF,FW",Tottenham,32,1987,9.7,0,0,0,6,19,5,22,4,7,0,0,0,52,5,5,50
